,feature_1,feature_2,r,p
216,4QC,td_perc,0.24811331122175512,7.967197849533994e-08
217,avg_yds_per_att,int_perc,-0.24700383361291753,9.137384467888354e-08
218,int_perc,att,-0.24698043944899362,9.163761482873328e-08
219,yds_per_comp,win,0.24556858274657306,1.0899119424644563e-07
220,avg_yds_per_att,4QC,0.2323539383079195,5.250402900032359e-07
221,QBR,Age,0.22886891237907261,7.82818837219884e-07
222,GWD,int_perc,-0.2244423645383931,1.288451044340022e-06
223,rush_td,percent_of_cap,0.22241355656264805,1.6135877694580003e-06
224,int,4QC,0.22165609679335446,1.7540577707224206e-06
225,rush_td,yds,0.2210176637315593,1.881481220497929e-06
226,QBR,rush_td,0.22039377296196483,2.0145355591333855e-06
227,4QC,rush_att,0.21837151516629671,2.510562631019609e-06
228,fir_dn_throws,yds_per_comp,0.21687787981007783,2.9498431892386646e-06
229,GWD,rush_td,0.21670507094705377,3.0051712952529933e-06
230,rush_att,avg_yds_per_att,0.21514603866818244,3.551243890453417e-06
231,4QC,int_perc,-0.2138447584579235,4.078451151359136e-06
232,Age,comp,0.2122051983960298,4.849642413636851e-06
233,rush_td,fir_dn_throws,0.20916603540729548,6.661612706820811e-06
234,pass_rating,Sk,0.20514948421481222,1.0062599476465214e-05
235,QBR,rush_yds,0.20501663205832835,1.01994209156561e-05
236,rush_td,Age,-0.20487814204704952,1.0343932892706443e-05
237,lng_comp,GWD,0.20422832625491857,1.104842331226454e-05
238,rush_td,att,0.2036449897951772,1.1719523517529473e-05
239,Age,int_perc,-0.2009275299068568,1.5390296006882163e-05
240,yds,Age,0.1994785720331275,1.777038332564626e-05
241,rush_avg,yds_per_gm,-0.19821387250942613,2.0129726578850437e-05
242,td_perc,Age,0.19810384727498775,2.0348473429786763e-05
243,comp,rush_td,0.19808126493801376,2.039364869802175e-05
244,pass_rating,loss,-0.19659998847109472,2.3573895444853926e-05
245,year_signed,int,-0.19468889178461327,2.83752410728547e-05
246,fir_dn_throws,Age,0.19457695005141712,2.8683439280172418e-05
247,loss,td_perc,-0.19255027514585737,3.484277903370682e-05
248,yds_per_comp,rush_att,0.19250791517989496,3.498398416241433e-05
249,int_perc,rush_att,-0.19143701915288425,3.8739007858305596e-05
250,int_perc,yds_per_gm,-0.1909163829767922,4.0699408035209724e-05
251,percent_of_cap,Age,0.1894004271723224,4.69557505603009e-05
252,QBR,loss,-0.18663756477100862,6.076091218830922e-05
253,yds_per_comp,year_signed,-0.1860660091416645,6.405903172241363e-05
254,td_perc,rush_yds,0.18506990681522106,7.021411846636976e-05
255,rush_yds,td,0.184956662694149,7.094814763888883e-05
256,year_signed,rush_td,0.1819514169195195,9.328739861266659e-05
257,rush_td,td,0.18164109426345493,9.593818281723355e-05
258,percent_of_cap,yds_per_comp,0.18072296932361706,0.00010420199982028501
259,lng_comp,4QC,0.1801137136775839,0.00011005045807987956
260,rush_avg,comp_pct,-0.17816582429904626,0.00013088753986798503
261,avg_yds_per_att,Sk,0.17775440224031264,0.00013573865484464405
262,year_signed,rush_att,0.1757066034388932,0.00016249928655130295
263,win,Age,0.17218074224155028,0.00022048544399693031
264,rush_yds,yds,0.17087723354048157,0.00024645020246919473
265,avg_yds_per_att,rush_td,0.17044985791881123,0.00025556741322436814
266,rush_att,lng_comp,0.1676931361791895,0.00032238231995444756
267,rush_td,pass_rating,0.1673924456011423,0.00033058216592225386
268,td,loss,0.1671772461166775,0.00033656964559243357
269,int,percent_of_cap,0.16715934800091714,0.00033707215187929603
270,pass_rating,int,-0.16626504610505743,0.00036309011377419844
271,rush_yds,yds_per_comp,0.16602336878786808,0.0003704358585754915
272,int_perc,Sk,-0.1657901595144612,0.00037765529357840607
273,rush_yds,att,0.16471116189566742,0.00041279620822645707
274,rush_yds,fir_dn_throws,0.16407703790565253,0.0004348447326826745
275,yds_per_gm,loss,0.16383762318575434,0.00044345048603753494
276,year_signed,rush_yds,0.16348774008213204,0.0004563123298635511
277,loss,int_perc,0.16292010437217197,0.00047791914646099984
278,Age,att,0.16203355434854516,0.000513575983426389
279,year_signed,pass_rating,0.16063308962088402,0.0005749720870177906
280,GWD,rush_yds,0.1577845451898986,0.0007214056341576317
281,rush_yds,pass_rating,0.15714874080348346,0.0007584899845854098
282,yds_per_comp,games_played,0.1570178063526883,0.0007663427609289999
283,loss,lng_comp,0.15612815373948014,0.0008217239731388531
284,avg_yds_per_att,Age,0.1561244181565551,0.0008219641246180319
285,lng_comp,comp_pct,0.15607183834249755,0.0008253512448576206
286,rush_td,yds_per_comp,0.15155134463562356,0.0011698226058764096
287,Sk,comp_pct,0.15132832371809618,0.001189838623916484
288,int_perc,rush_td,-0.1503994716354811,0.0012766409666745968
289,int_perc,year_signed,-0.14859215306589746,0.0014624502177599749
290,QBR,Sk,0.14784045202686213,0.001546803573905049
291,comp,rush_yds,0.1466645855832318,0.0016877485775768518
292,loss,rush_avg,0.1463463927689082,0.0017278629027807496
293,rush_td,4QC,0.1459610591827347,0.0017776108080879698
294,td_perc,Sk,0.14260132563043013,0.002270294403239948
295,Age,Sk,-0.14142936379793825,0.0024695759170426526
296,rush_yds,int_perc,-0.13540155516277427,0.0037698835477949005
297,rush_yds,avg_yds_per_att,0.13378089386548303,0.004212270612850366
298,avg_yds_per_att,loss,-0.13237808820778874,0.0046325181422410475
299,loss,Age,-0.1301486786024003,0.005378663358265291
300,loss,win,-0.1296029390822612,0.005577059104249263
301,int,rush_att,0.1277811272426846,0.006287893777184677
302,lng_comp,year_signed,-0.12379081596884481,0.008135861736411008
303,rush_td,lng_comp,0.1211054450860137,0.009638362193159647
304,4QC,rush_yds,0.11992624866120005,0.010372674568691356
305,rush_att,loss,0.11686405189507001,0.012516212367271459
306,rush_td,td_perc,0.11677488679140675,0.012584095321974565
307,Age,GWD,0.10620476630263409,0.0233227117626509
308,rush_yds,lng_comp,0.1050960136008117,0.02481340358942816
309,int,yds_per_comp,0.10317579381367271,0.027590006233658166
310,rush_yds,loss,0.10279544303528645,0.028170596217702445
311,comp_pct,loss,-0.10078157210971332,0.03142260672185851
312,comp_pct,rush_att,0.09998123566725138,0.03280139320972127
313,att,yds_per_comp,0.09987069023749864,0.03299583582296956
314,yds_per_comp,Sk,0.09930604019598985,0.03400442973295731
315,rush_avg,comp,-0.0969416872993159,0.03851774609454956
316,Age,4QC,0.09604593072057535,0.0403554426885846
317,year_signed,percent_of_cap,0.09302531895973723,0.04710757332785059
